iter	MultiClass
0	0.6642611648
1	0.6369296352
2	0.6170152398
3	0.5936966893
4	0.5728620445
5	0.5559945383
6	0.5430797772
7	0.5259617728
8	0.5133757881
9	0.499848516
10	0.4896359222
11	0.4785068672
12	0.4722276289
13	0.4663986178
14	0.4615198686
15	0.4576988771
16	0.4504109434
17	0.4439585826
18	0.4379738743
19	0.4339348349
20	0.4276612386
21	0.4210392092
22	0.41322558
23	0.4069700647
24	0.4049235928
25	0.4032286045
26	0.401331935
27	0.3991342404
28	0.3970260514
29	0.3930598435
30	0.3913332775
31	0.3886438079
32	0.3861496277
33	0.3846798523
34	0.3830323976
35	0.38202103
36	0.3810217405
37	0.3796642887
38	0.3787474431
39	0.3758281419
40	0.3745562714
41	0.3721159101
42	0.3701514519
43	0.3682337498
44	0.3663817157
45	0.3652315215
46	0.3638936985
47	0.362893347
48	0.3620713588
49	0.3596558122
50	0.3583161336
51	0.3575632768
52	0.3566929101
53	0.3560023647
54	0.355174476
55	0.3544589065
56	0.3531569129
57	0.352008758
58	0.351364897
59	0.3506766237
60	0.3498632998
61	0.3491280388
62	0.3482200717
63	0.3475299959
64	0.3468980697
65	0.3464377117
66	0.3458727087
67	0.3448591786
68	0.344157101
69	0.3433056604
70	0.341000972
71	0.3403570116
72	0.3399824185
73	0.3390480856
74	0.3384654234
75	0.3368232539
76	0.336267021
77	0.3358681095
78	0.3354046201
79	0.3340261658
80	0.3332067346
81	0.3324978116
82	0.3317483108
83	0.3295653474
84	0.3290889869
85	0.3274580486
86	0.3269551338
87	0.3264567705
88	0.325633995
89	0.324181711
90	0.3237707048
91	0.3232963188
92	0.3223614477
93	0.3217716725
94	0.321266696
95	0.3208123178
96	0.3203068507
97	0.3199699836
98	0.3188929626
99	0.318498939
100	0.3179971155
101	0.3176197311
102	0.316575469
103	0.3160739423
104	0.3155900054
105	0.314860878
106	0.3139050945
107	0.3133758506
108	0.3129464527
109	0.3124021275
110	0.3119096464
111	0.3115787412
112	0.3108971707
113	0.3104711755
114	0.3101604361
115	0.3090268067
116	0.3085499742
117	0.3067794109
118	0.3064422198
119	0.3059553508
120	0.3054777443
121	0.3049046353
122	0.3045481533
123	0.3042027393
124	0.3037100655
125	0.3034399702
126	0.3031033892
127	0.3020776267
128	0.3016833929
129	0.3012951301
130	0.3007352788
131	0.300221806
132	0.2993339857
133	0.298871554
134	0.2983579832
135	0.2979834146
136	0.2973073266
137	0.2964650346
138	0.2959090928
139	0.2955364775
140	0.2940841324
141	0.2937177482
142	0.2934191904
143	0.2926632412
144	0.2920363009
145	0.2917075775
146	0.2912929505
147	0.2903403984
148	0.289971814
149	0.2896364355
150	0.2893835632
151	0.2889227867
152	0.2882999137
153	0.287904689
154	0.2874461874
155	0.2871558685
156	0.2867168087
157	0.2863410804
158	0.2858838476
159	0.2855283708
160	0.2853232995
161	0.2843876573
162	0.2841503609
163	0.2839561649
164	0.2835244992
165	0.2831251337
166	0.2826642095
167	0.2821486612
168	0.2818314942
169	0.2815579909
170	0.281177249
171	0.2808315581
172	0.2804618852
173	0.2800556649
174	0.2796884362
175	0.2792162026
176	0.2788825007
177	0.2784770053
178	0.2781870707
179	0.2777124269
180	0.2773110433
181	0.2769776019
182	0.2765944488
183	0.2763424587
184	0.2757233014
185	0.2753370499
186	0.2748930837
187	0.2745985981
188	0.2744450337
189	0.2741471943
190	0.2739033379
191	0.273594507
192	0.2732263667
193	0.2728781557
