iter	Passed	Remaining
0	105	105029
1	107	53840
2	110	36774
3	113	28311
4	116	23234
5	119	19809
6	122	17324
7	124	15482
8	127	14049
9	130	12897
10	133	11974
11	135	11169
12	138	10514
13	141	9945
14	143	9439
15	146	9011
16	149	8624
17	151	8283
18	154	7977
19	157	7703
20	159	7451
21	162	7225
22	165	7022
23	167	6821
24	170	6643
25	173	6485
26	175	6333
27	178	6191
28	180	6056
29	183	5932
30	186	5818
31	188	5707
32	191	5607
33	193	5506
34	196	5415
35	198	5326
36	201	5240
37	204	5165
38	206	5091
39	209	5021
40	211	4954
41	214	4889
42	217	4829
43	219	4767
44	222	4711
45	224	4663
46	227	4607
47	229	4560
48	232	4512
49	234	4464
50	237	4424
51	240	4379
52	242	4338
53	245	4299
54	247	4258
55	250	4220
56	252	4184
57	255	4148
58	257	4113
59	260	4079
60	263	4048
61	265	4020
62	268	3989
63	271	3964
64	273	3935
65	276	3909
66	279	3886
67	281	3858
68	284	3836
69	286	3812
70	289	3787
71	292	3767
72	294	3743
73	297	3724
74	300	3702
75	302	3680
76	305	3659
77	307	3638
78	310	3619
79	312	3599
80	315	3577
81	318	3561
82	320	3544
83	323	3527
84	326	3511
85	328	3494
86	331	3477
87	333	3461
88	336	3445
89	339	3428
90	341	3413
91	344	3399
92	346	3383
93	349	3368
94	352	3357
95	354	3342
96	357	3329
97	360	3315
98	362	3299
99	365	3287
100	367	3273
101	370	3259
102	372	3248
103	375	3234
104	378	3222
105	380	3211
106	383	3199
107	386	3188
108	388	3176
109	391	3166
110	393	3155
111	396	3144
112	399	3134
113	401	3122
114	404	3111
115	406	3101
116	409	3088
117	411	3079
118	414	3068
119	416	3057
120	419	3046
121	421	3036
122	424	3027
123	426	3016
124	429	3005
125	431	2995
126	434	2987
127	437	2979
128	439	2969
129	442	2959
130	444	2949
131	447	2939
132	449	2930
133	451	2920
134	454	2911
135	456	2901
136	459	2891
137	461	2882
138	463	2873
139	466	2864
140	468	2855
141	471	2847
142	473	2838
143	475	2829
144	478	2819
145	480	2811
146	483	2802
147	485	2794
148	487	2786
149	490	2777
150	492	2769
151	494	2760
152	497	2752
153	499	2744
154	501	2735
155	504	2727
156	506	2719
157	508	2711
158	511	2703
159	513	2696
160	515	2688
161	518	2681
162	520	2673
163	522	2665
164	525	2658
165	527	2651
166	530	2645
167	532	2638
168	535	2631
169	537	2624
170	539	2617
171	542	2612
172	545	2606
173	547	2600
174	550	2594
175	552	2588
176	555	2581
177	557	2574
178	559	2567
179	562	2560
180	564	2554
181	566	2547
182	569	2541
183	571	2534
184	573	2528
185	576	2521
186	578	2515
187	580	2509
188	583	2502
189	585	2496
190	588	2491
191	590	2484
192	592	2478
193	595	2472
194	597	2466
195	599	2460
196	602	2454
197	604	2448
198	606	2443
199	609	2437
200	611	2431
201	613	2425
202	616	2420
203	618	2414
204	621	2408
205	623	2402
206	625	2397
207	628	2391
208	630	2386
209	632	2380
210	635	2375
211	637	2369
212	639	2364
213	642	2359
214	644	2354
215	647	2348
216	649	2344
217	652	2339
218	654	2334
219	657	2329
220	659	2324
221	661	2319
222	664	2314
223	666	2309
224	669	2304
225	671	2299
226	673	2294
227	676	2289
228	678	2284
229	681	2280
230	683	2275
231	685	2270
232	688	2265
233	690	2260
234	692	2255
235	695	2250
236	697	2245
237	699	2240
238	702	2236
239	704	2231
240	706	2226
241	709	2221
242	711	2216
243	713	2211
244	716	2206
245	718	2202
246	720	2197
247	723	2192
248	725	2188
249	728	2184
250	730	2180
251	733	2176
252	735	2172
253	738	2168
254	740	2164
255	743	2160
256	746	2157
257	748	2152
258	751	2148
259	753	2144
260	756	2140
261	758	2136
262	761	2132
263	763	2128
264	766	2125
265	768	2121
266	771	2117
267	773	2113
268	776	2109
269	778	2104
270	780	2100
271	783	2095
272	785	2091
273	787	2087
274	790	2083
275	792	2078
276	794	2074
277	797	2070
278	799	2065
279	801	2061
280	804	2057
281	806	2053
282	808	2048
283	811	2044
284	813	2040
285	815	2037
286	818	2032
287	820	2028
288	822	2024
289	825	2020
290	827	2016
291	829	2012
292	832	2008
293	834	2004
294	836	2000
295	839	1995
296	841	1992
297	843	1988
298	846	1984
299	848	1980
300	850	1976
301	853	1972
302	855	1968
303	858	1964
304	860	1960
305	862	1956
306	865	1952
307	867	1948
308	869	1945
309	872	1940
310	874	1937
311	876	1933
312	879	1929
313	881	1925
314	883	1921
315	886	1918
316	888	1914
317	890	1910
318	893	1907
319	896	1905
320	899	1902
321	901	1898
322	904	1895
323	906	1891
324	909	1889
325	912	1887
326	915	1885
327	918	1882
328	922	1880
329	924	1877
330	927	1874
331	929	1870
332	932	1867
333	934	1863
334	936	1859
335	939	1856
336	941	1852
337	944	1849
338	946	1845
339	948	1841
340	951	1838
341	953	1834
342	955	1831
343	958	1828
344	961	1825
345	964	1822
346	966	1819
347	969	1816
348	972	1813
349	975	1810
350	977	1807
351	980	1804
352	983	1801
353	985	1798
354	988	1795
355	990	1792
356	993	1789
357	995	1785
358	998	1782
359	1000	1779
360	1003	1776
361	1005	1772
362	1008	1769
363	1010	1766
364	1013	1762
365	1015	1759
366	1018	1757
367	1021	1754
368	1024	1751
369	1026	1748
370	1029	1744
371	1031	1741
372	1034	1738
373	1036	1735
374	1039	1731
375	1041	1728
376	1044	1725
377	1046	1721
378	1048	1718
379	1051	1714
380	1053	1711
381	1055	1708
382	1058	1704
383	1060	1701
384	1062	1697
385	1065	1695
386	1068	1691
387	1070	1688
388	1073	1685
389	1075	1682
390	1077	1679
391	1080	1675
392	1082	1672
393	1085	1668
394	1087	1665
395	1089	1661
396	1091	1658
397	1094	1655
398	1096	1651
399	1099	1648
400	1101	1645
401	1103	1641
402	1106	1638
403	1108	1635
404	1111	1632
405	1113	1629
406	1116	1626
407	1119	1624
408	1122	1622
409	1125	1619
410	1128	1617
411	1131	1615
412	1134	1612
413	1137	1610
414	1140	1607
415	1143	1605
416	1146	1603
417	1150	1601
418	1153	1600
419	1157	1597
420	1160	1595
421	1163	1593
422	1166	1591
423	1170	1589
424	1173	1588
425	1177	1586
426	1180	1584
427	1183	1582
428	1187	1580
429	1190	1578
430	1193	1576
431	1196	1573
432	1200	1571
433	1203	1569
434	1206	1567
435	1209	1565
436	1213	1563
437	1216	1561
438	1219	1558
439	1223	1557
440	1227	1555
441	1230	1553
442	1233	1551
443	1237	1549
444	1240	1547
445	1243	1544
446	1246	1542
447	1250	1540
448	1253	1538
449	1256	1535
450	1259	1533
451	1263	1531
452	1266	1529
453	1270	1527
454	1273	1525
455	1276	1523
456	1280	1520
457	1283	1518
458	1286	1516
459	1290	1514
460	1293	1512
461	1296	1510
462	1300	1508
463	1303	1505
464	1306	1503
465	1310	1501
466	1313	1498
467	1316	1496
468	1320	1494
469	1323	1492
470	1326	1489
471	1329	1487
472	1333	1485
473	1336	1483
474	1340	1481
475	1343	1478
476	1346	1476
477	1349	1474
478	1353	1471
479	1355	1468
480	1358	1465
481	1360	1462
482	1363	1459
483	1365	1455
484	1367	1452
485	1370	1449
486	1372	1445
487	1375	1442
488	1377	1439
489	1379	1435
490	1381	1432
491	1384	1429
492	1386	1426
493	1389	1422
494	1391	1419
495	1393	1416
496	1395	1412
497	1398	1409
498	1400	1406
499	1402	1402
500	1405	1399
501	1407	1396
502	1410	1393
503	1412	1390
504	1414	1386
505	1417	1383
506	1419	1380
507	1422	1377
508	1424	1373
509	1426	1370
510	1429	1367
511	1431	1364
512	1434	1361
513	1436	1358
514	1439	1355
515	1441	1352
516	1443	1348
517	1446	1345
518	1448	1342
519	1450	1339
520	1453	1336
521	1455	1332
522	1457	1329
523	1460	1326
524	1462	1323
525	1464	1320
526	1467	1316
527	1469	1313
528	1471	1310
529	1474	1307
530	1476	1304
531	1478	1300
532	1481	1297
533	1483	1294
534	1486	1291
535	1488	1288
536	1491	1285
537	1493	1282
538	1495	1279
539	1497	1276
540	1500	1272
541	1502	1269
542	1504	1266
543	1507	1263
544	1509	1260
545	1512	1257
546	1515	1255
547	1518	1252
548	1530	1257
549	1533	1254
550	1536	1252
551	1539	1249
552	1543	1247
553	1546	1245
554	1550	1243
555	1553	1240
556	1556	1238
557	1560	1236
558	1563	1233
559	1566	1231
560	1570	1228
561	1574	1226
562	1577	1224
563	1580	1222
564	1583	1219
565	1587	1217
566	1590	1214
567	1594	1213
568	1598	1210
569	1601	1208
570	1604	1205
571	1608	1203
572	1611	1200
573	1615	1198
574	1618	1195
575	1621	1193
576	1624	1191
577	1628	1189
578	1631	1186
579	1635	1184
580	1638	1181
581	1642	1179
582	1645	1177
583	1649	1174
584	1652	1172
585	1656	1170
586	1660	1168
587	1663	1165
588	1667	1163
589	1670	1160
590	1674	1159
591	1677	1156
592	1681	1153
593	1684	1151
594	1688	1149
595	1691	1146
596	1694	1144
597	1697	1141
598	1702	1139
599	1704	1136
600	1708	1133
601	1710	1131
602	1714	1128
603	1718	1126
604	1722	1124
605	1725	1121
606	1729	1119
607	1732	1116
608	1735	1114
609	1738	1111
610	1741	1108
611	1744	1105
612	1746	1102
613	1749	1099
614	1751	1096
615	1754	1093
616	1757	1090
617	1759	1087
618	1762	1084
619	1764	1081
620	1767	1078
621	1770	1075
622	1772	1072
623	1775	1069
624	1777	1066
625	1780	1063
626	1783	1060
627	1785	1057
628	1788	1054
629	1790	1051
630	1792	1048
631	1795	1045
632	1797	1042
633	1799	1039
634	1802	1035
635	1804	1032
636	1806	1029
637	1809	1026
638	1811	1023
639	1813	1020
640	1816	1017
641	1818	1014
642	1821	1011
643	1823	1007
644	1825	1004
645	1828	1001
646	1830	998
647	1832	995
648	1834	992
649	1837	989
650	1839	986
651	1841	983
652	1844	980
653	1846	977
654	1849	973
655	1851	970
656	1853	967
657	1856	964
658	1858	961
659	1861	958
660	1863	955
661	1865	952
662	1868	949
663	1870	946
664	1872	943
665	1875	940
666	1877	937
667	1879	934
668	1882	931
669	1884	928
670	1886	925
671	1889	922
672	1891	919
673	1894	916
674	1896	913
675	1898	910
676	1901	907
677	1904	904
678	1907	901
679	1911	899
680	1914	896
681	1918	894
682	1921	891
683	1924	889
684	1927	886
685	1931	884
686	1934	881
687	1938	878
688	1941	876
689	1944	873
690	1947	870
